832.71	  1.40914   1.33543  0.154018 -0.917837  0.245486  0.275248  0.146802         0         0         0	-0.0443907 -0.0773568  0.0308415   0.985292   0.133315    1.56985	  0.0175305   0.0196635 0.000674127  0.00161098  0.00602257 0.000964455  0.00180732           0           0           0
832.92	  1.40791   1.33581  0.154923 -0.914989  0.240766  0.287031  0.149799         0         0         0	0.000828764  -0.0766504   0.0369963    0.980025    0.138489     1.57669	  0.0175356   0.0196479 0.000681583  0.00158128  0.00600861 0.000989327  0.00188865           0           0           0
833.92	  2.11198  0.549418  0.184351 -0.710748  0.629888  0.177588  0.257955         0         0         0	-0.00821376  -0.0979791   0.0401762    0.972704     0.13336     1.59097	 0.00814539   0.0288019 0.000694466  0.00415647  0.00468997  0.00170254  0.00117242           0           0           0
834.21	  2.11191  0.551282  0.186564 -0.708696  0.626379  0.184718  0.266983         0         0         0	-0.0108361  -0.104164  0.0410984   0.970581   0.131872    1.59511	 0.00816557   0.0288012 0.000701676   0.0041335  0.00467671  0.00176204   0.0012192           0           0           0
835.2	   1.27873  0.0797662   0.203158 -0.0489805   0.947477 -0.0600912   0.310284          0          0          0	-0.0197882   -0.12528  0.0442466   0.963333   0.126795    1.60925	 0.00500332   0.0179858 0.000710647  0.00625288 0.000323711  0.00204808  0.00039976           0           0           0
835.4	   1.27849  0.0790728   0.202889 -0.0447101   0.941775 -0.0655371    0.32675          0          0          0	6.02071e-05   -0.124146   0.0562056    0.961855    0.134123      1.6105	 0.00500392   0.0179829 0.000717723  0.00621807 0.000296919  0.00216051 0.000442085           0           0           0
836.4	-0.00149453  -0.0385191    0.231357  -0.0206691    0.949038  -0.0689248    0.306837           0           0           0	-0.0656436  -0.138345  0.0558765   0.931396   0.121469    1.63353	 0.00518312  0.00435529  0.00073908  0.00629191 0.000140318  0.00204431 0.000466783           0           0           0
836.61	-0.000593935   -0.0369602     0.232558   -0.0166212     0.941081    -0.079968     0.328171            0            0            0	-0.0664299  -0.142599   0.054936   0.925449    0.12173    1.63745	 0.00517856  0.00435912 0.000745945  0.00624987 0.000110759  0.00217964  0.00053166           0           0           0
837.6	  -1.29624  -0.363036   0.250389 -0.0967945   0.943258 -0.0456686   0.314339          0          0          0	-0.0701367  -0.162653  0.0505022   0.897412   0.122957    1.65596	 0.00755391   0.0172793 0.000754595  0.00626466 0.000643044  0.00208867 0.000307156           0           0           0
837.87	  -1.29423  -0.365161   0.250794 -0.0922433   0.935236 -0.0574441   0.336936          0          0          0	-0.0606202  -0.164168  0.0385932   0.897997   0.123966    1.65452	 0.00757572   0.0172538  0.00076132  0.00621752 0.000614184   0.0022439 0.000395442           0           0           0
838.86	 -2.35533  -1.12168  0.256189 -0.473749  0.821371 0.0816922  0.306981         0         0         0	 -0.088042  -0.166328 -0.0130782   0.875632   0.122213    1.65437	  0.0165326   0.0311263 0.000776902   0.0054793  0.00316032  0.00204838 0.000545764           0           0           0
839.09	 -2.35371  -1.12021    0.2571 -0.464603  0.820526 0.0905827   0.32043         0         0         0	-0.0944127   -0.16683 -0.0250826   0.870436   0.121805    1.65434	 0.0165143  0.0311051 0.00078333 0.00547392 0.00309945 0.00213851 0.00060686          0          0          0
840.06	 -2.28719  -2.42848  0.251696 -0.747147  0.581291    0.1948   0.25676         0         0         0	 -0.103602  -0.158314 -0.0419809    0.85193    0.11134    1.65729	  0.0335925   0.0302286 0.000796272   0.0039019  0.00501517  0.00172373  0.00130795           0           0           0
